brand,item,price,discount,originalprice,rank
THE NORTH FACE,ザ・ノースフェイス / ヌプシジャケット,35200,0.0,35200,1
KANGOL,KANGOL/カンゴール別注 リバーシブル シープボアフリースジャケット/オーバーサイズ ボアスタンドブルゾン,7040,0.0,7040,2
MONO-MART,T/R アーバンミリタリー コーチジャケット (MONO-MART) 2019AW,6600,0.0,6600,3
FREAK'S STORE,▽FIRST DOWN/ファーストダウン 別注パネルショートダウン,34980,0.0,34980,4
THE NORTH FACE,TheNorthFace (ザ・ノースフェイス）Mountain Jacket マウンテンジャケット　NP61800,55000,0.0,55000,5
KANGOL,【BASQUE -enthusiastic design-】KANGOL カンゴール BASQUE magenta 別注 ビッグシルエット ライン切替 ボリュームネック ブルゾン,8690,0.0,8690,6
nano・universe,WONDER LIGHT LEATHER シングルライダース,25080,0.0,25080,7
nano・universe,ダメリーノ　SOLOTEXフランネルジャケット(セットアップ対応),11880,0.0,11880,8
nano・universe,【WEB限定】T/Rイージーリブブルゾン,9680,0.0,9680,9
FREAK'S STORE,WEB限定 THE NORTH FACE/ザノースフェイス Denali Hoodie/デナリフーディ,24200,0.0,24200,10
THE CASUAL,撥水マウンテンパーカー ジャケット ブルゾン,4950,0.51,10102,11
INTER FACTORY,ファッションインフルエンサー こめ × INTER FACTORY　グレンチェックバルーンブルゾン,11000,0.0,11000,12
ASTRONOMY,TRストレッチアーバンコーチジャケット,4950,0.76,20625,13
FREAK'S STORE,▽Gramicci×FREAK'S STORE/グラミチ 別注ボアフリースブルゾン,16940,0.0,16940,14
kutir,オーバーステンカラーコート,5595,0.0,5595,15
Rocky Monroe,タスラン加工マウンテンパーカー,4950,0.83,29118,16
nano・universe,ダメリーノ　ハイゲージツイルジャージジャケット(セットアップ対応),9020,0.0,9020,17
FREAK'S STORE,WEB限定 THE NORTH FACE/ザノースフェイス Trango Parka/トランゴパーカ,29700,0.0,29700,18
Danton,＜DANTON（ダントン）＞ DOWN PK/ダウンジャケット,47080,0.0,47080,19
HARE,EASYトレンチコート(HARE),14080,0.8,70400,20
FREAK'S STORE,WEB限定 ビッグシルエット オーバーサイズ コーデュロイ セットアップ (ジャケット/パンツ),14960,0.0,14960,21
DESCENTE ALLTERRAIN,"水沢ダウンジャケット""マウンテニア"" / MIZUSAWA DOWN JACKET ""MOUNTAINEER""",110000,0.0,110000,22
FREAK'S STORE,▽PYRENEX/ピレネックス ANNECY/アヌシー/アネシー,121000,0.0,121000,23
G.O.C,チェック柄 ビッグシルエット ドリズラー ブルゾン,5997,0.6,14992,24
MONO-MART,ビッグシルエット切り替えフルジップブルゾン,8712,0.9,87120,25
THE NORTH FACE,［ザ・ノースフェイス］UO★ THE NORTH FACE マウンテンライトジャケット,39600,0.0,39600,26
nano・universe,ＴＲコーチジャケット,10120,0.0,10120,27
